420	420	16	3	3			71.77	59335662	260990755	150000019
566	566	16	3	3			66.61	73171366	265578350	150000019
857	857	16	3	3			66.33	52433576	255870786	150000017
1837	1837	16	3	3			84.78	31400994	268573899	150000012
2800	2800	16	3	3			72.99	34863096	256895555	150000015
4222	4222	16	3	3			71.22	29066321	244956582	150000011
5738	5738	16	3	3			70.65	18284035	239232851	150000005
6907	6907	16	3	3			68.52	21809137	240186114	150000009
7971	7971	16	3	3			72.12	33516111	254336502	150000008
10239	10239	16	3	3			83.21	3718328	251985999	150000011
10784	10784	16	3	3			66.72	17808148	235803889	150000012
12400	12400	16	3	3			75.69	19319161	243957100	150000011
14620	14620	16	3	3			67.5	66457558	262910915	150000013
14683	14683	16	3	3			71.23	109920919	308567036	150000006
15799	15799	16	3	3			74.31	38580677	264307188	150000016
16524	16524	16	3	3			76.62	23170143	261897385	150000019
17586	17586	16	3	3			79.01	29050926	270645762	150000038
17772	17772	16	3	3			73.25	65472755	278032494	150000006
19015	19015	16	3	3			69.62	84015287	290297856	150000007
19416	19416	16	3	3			58.87	16280182	234090288	150000011
