91	91	16	1	3			105	314070925	492218196	150000017
420	420	16	1	3			77.24	144202641	351196019	150000018
566	566	16	1	3			76.53	129500142	347146107	150000006
857	857	16	1	3			71.09	152612005	345570362	150000013
1271	1271	16	1	3			87.78	71143964	320428358	150000016
1588	1588	16	1	3			86.14	151595526	384484380	150000013
1818	1818	16	1	3			88.84	81262080	309595289	150000016
1837	1837	16	1	3			97.43	82494637	321126063	150000013
1985	1985	16	1	3			119.6	42214668	337534313	150000016
2404	2404	16	1	3			91.32	59698173	304987508	150000011
2800	2800	16	1	3			89.91	113473344	355456342	150000006
4193	4193	16	1	3			100.8	41160446	297832838	150000001
4222	4222	16	1	3			79.66	140709455	346794934	150000021
4426	4426	16	1	3			87.66	36290246	294575551	150000015
4634	4634	16	1	3			87.83	66467383	311993750	150000006
4747	4747	16	1	3			88.51	7651438	262958780	150000005
4872	4872	16	1	3			80.31	85451453	311580444	150000023
4988	4988	16	1	3			84.91	25153841	276034851	150000010
5464	5464	16	1	3			87.99	28600292	285002949	150000011
5738	5738	16	1	3			71.81	44641585	253689085	150000020
5940	5940	16	1	3			100.7	89206399	353016286	150000004
6199	6199	16	1	3			83.52	80323499	313896814	150000012
6599	6599	16	1	3			76.79	53831208	282719019	150000013
6773	6773	16	1	3			92.55	13189866	284197890	150000018
6787	6787	16	1	3			90.43	111390258	356814770	150000011
6792	6792	16	1	3			87.47	57265713	307837899	150000008
6809	6809	16	1	3			96.17	15118585	294838763	150000016
6823	6823	16	1	3			85.39	72893702	306398994	150000013
6907	6907	16	1	3			77.07	83968525	301166231	150000012
7225	7225	16	1	3			95.64	33455208	300528909	150000008
7563	7563	16	1	3			100.8	153649108	405392015	150000013
7783	7783	16	1	3			107.3	94327898	374823829	150000012
7971	7971	16	1	3			83.69	161028695	391726852	150000013
8003	8003	16	1	3			84.12	7701064	254437968	150000011
8211	8211	16	1	3			84.85	53452880	296943625	150000012
8439	8439	16	1	3			94.52	57506497	332866769	150000015
8662	8662	16	1	3			82.41	54055948	299013603	150000011
9140	9140	16	1	3			86	42748874	299364426	150000007
9212	9212	16	1	3			87.82	46322160	284579492	150000012
9531	9531	16	1	3			100.5	11301979	309878946	150000009
9874	9874	16	1	3			78.85	41617852	291992572	150000004
10085	10085	16	1	3			105.5	83369007	348600156	150000008
10437	10437	16	1	3			80.9	53237982	294483186	150000011
10617	10617	16	1	3			94.71	39926611	320988917	150000007
10672	10672	16	1	3			97.24	11062438	307491025	150000012
10784	10784	16	1	3			73.67	146547914	364130968	150000009
11044	11044	16	1	3			83.59	21343596	267046204	150000009
11136	11136	16	1	3			93.18	12287539	274478495	150000011
11550	11550	16	1	3			102.2	15408470	286019844	150000010
12376	12376	16	1	3			87.48	72373388	318402361	150000008
12400	12400	16	1	3			76.7	155378749	362930985	150000019
12468	12468	16	1	3			111.1	45721428	338051691	150000012
12629	12629	16	1	3			104.2	128304429	380615511	150000012
12831	12831	16	1	3			95.43	119490946	381163029	150000016
13507	13507	16	1	3			78.1	204337581	408117135	150000006
14620	14620	16	1	3			80.82	143143502	349280299	150000016
14683	14683	16	1	3			113.6	298946753	483745432	150000013
14830	14830	16	1	3			58.82	25379685	226570093	150000008
14894	14894	16	1	3			85.05	61806706	307898539	150000014
15061	15061	16	1	3			90.04	47973013	304995263	150000013
15295	15295	16	1	3			89.75	25563784	279726276	150000006
15299	15299	16	1	3			83.48	20769463	257447556	150000007
16188	16188	16	1	3			103.4	9082981	304664276	150000011
16850	16850	16	1	3			101.9	55077079	322180450	150000004
16995	16995	16	1	3			105.3	21328480	321442295	150000006
17022	17022	16	1	3			98.73	85612105	348805882	150000012
17275	17275	16	1	3			77.48	29345924	266263731	150000005
17538	17538	16	1	3			116	24518116	339754548	150000016
17586	17586	16	1	3			89.45	3924544	274039005	150000014
17772	17772	16	1	3			86.53	34601479	285952002	150000015
18110	18110	16	1	3			92.44	56152120	298632806	150000007
18319	18319	16	1	3			88.7	151649151	383483585	150000003
18324	18324	16	1	3			87.68	1489519	275100588	150000022
18778	18778	16	1	3			109.7	408755166	564727502	150000012
19015	19015	16	1	3			84.45	229367361	432744553	150000016
19097	19097	16	1	3			102.4	49572575	329509633	150000010
19275	19275	16	1	3			89.6	11609122	271527648	150000014
19416	19416	16	1	3			75	106284030	333743554	150000016
